country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Syria,2020-04-13,25,2,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,0.8571428571428571,0.0,1.2857142857142858,1.2857142857142858,0.0,0.9183673469387754,0.38560089036104467,1.2857142857142858,1.1326530612244898,0.4019742711225921,1.5714285714285714,1.0038961038961038,0.4736317568129643,1.5714285714285714,-0.18750000000000008,-0.18750000000000008,0.375,7.6923076923076925,0,4,16,21,,0.0
Syria,2020-04-14,29,2,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,4.0,0.0,1.4285714285714286,0.0,1.2857142857142858,1.2857142857142858,0.0,0.9387755102040816,0.4112130955022426,1.4285714285714286,1.1428571428571428,0.4079277185334195,1.5714285714285714,1.022360248447205,0.471138646217015,1.5714285714285714,0.06249999999999997,0.06249999999999997,1.0,6.666666666666667,1,4,16,22,,0.0
Syria,2020-04-15,33,2,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,4.0,0.0,2.0,0.0,1.2857142857142858,0.7142857142857143,1.3333333333333333,1.0408163265306123,0.5697253528220437,2.0,1.2346938775510203,0.4468875191930244,2.0,1.063095238095238,0.5021402482833568,2.0,0.3125,-0.02083333333333337,1.4,5.88235294117647,2,4,16,23,,0.0
Syria,2020-04-16,33,2,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,2.0,0.0,0.42857142857142855,1.5714285714285714,1.0,1.2653061224489797,0.5972076259507103,2.0,1.2653061224489797,0.48479921188735703,2.0,1.1005714285714285,0.5260707326223769,2.0,1.0999999999999999,1.5444444444444443,0.875,5.88235294117647,3,4,16,24,,0.0
Syria,2020-04-17,38,2,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,5.0,0.0,2.7142857142857144,0.0,0.42857142857142855,1.5714285714285714,0.8,1.5918367346938775,0.6822759602306459,2.7142857142857144,1.346938775510204,0.6181815783255896,2.7142857142857144,1.1626373626373625,0.6048446772117362,2.7142857142857144,1.6,2.0444444444444447,1.4615384615384615,5.128205128205128,4,4,16,25,,0.0
Syria,2020-04-18,38,2,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,1.8571428571428572,0.0,1.2857142857142858,1.5714285714285714,0.6666666666666666,1.6734693877551021,0.6736754992787514,2.7142857142857144,1.3673469387755102,0.6307511798706964,2.7142857142857144,1.1883597883597885,0.6079726905774102,2.7142857142857144,0.25,0.36111111111111105,1.0,5.128205128205128,5,4,16,26,,0.0
Syria,2020-04-19,39,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,1.0,1.0,2.0,0.14285714285714285,0.8571428571428571,1.4285714285714286,1.1428571428571428,1.836734693877551,0.5739739228745,2.7142857142857144,1.4081632653061225,0.6531102807320804,2.7142857142857144,1.2173469387755103,0.6160096590434224,2.7142857142857144,0.6153846153846153,0.8506787330316741,0.8235294117647058,7.5,6,4,16,27,,0.0
Syria,2020-04-20,39,3,,0.0,0.03,75.93,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,2.0,0.14285714285714285,0.8571428571428571,1.2857142857142858,1.2857142857142858,2.0,0.3779644730092282,2.7142857142857144,1.4591836734693877,0.6704776324850106,2.7142857142857144,1.2443349753694581,0.6221235765426696,2.7142857142857144,0.6153846153846153,0.8028846153846154,0.6666666666666666,7.5,0,4,17,28,,0.0
Syria,2020-04-21,42,3,,0.0,0.03,75.93,,21.7,1.5,72.7,22125242.0,,,,,,3.0,0.0,1.8571428571428572,0.14285714285714285,1.4285714285714286,1.2857142857142858,1.2857142857142858,2.0612244897959187,0.295742382575296,2.7142857142857144,1.5,0.6764715919805296,2.7142857142857144,1.2647619047619048,0.6214574793998457,2.7142857142857144,0.1764705882352941,0.11397058823529413,0.6190476190476191,6.976744186046512,1,4,17,29,,0.0
Syria,2020-04-22,42,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,1.2857142857142858,0.14285714285714285,2.0,1.2857142857142858,0.7142857142857143,1.959183673469388,0.4182428884065151,2.7142857142857144,1.5,0.6764715919805296,2.7142857142857144,1.3076190476190477,0.5737290856551027,2.7142857142857144,-0.23809523809523805,-0.550595238095238,0.34615384615384615,6.976744186046512,2,4,17,30,,0.0
Syria,2020-04-23,42,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,1.2857142857142858,0.14285714285714285,2.0,0.42857142857142855,1.5714285714285714,1.8571428571428574,0.4879500364742672,2.7142857142857144,1.5612244897959184,0.6072928986272048,2.7142857142857144,1.3504761904761904,0.5179967065583692,2.7142857142857144,-0.23809523809523805,-1.338095238095238,0.45,6.976744186046512,3,4,17,31,,0.0
Syria,2020-04-24,42,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,0.5714285714285714,0.14285714285714285,2.7142857142857144,0.42857142857142855,1.5714285714285714,1.5510204081632655,0.5308738235408622,2.0,1.5714285714285714,0.5876809651481734,2.7142857142857144,1.325079365079365,0.5371883508744086,2.7142857142857144,-0.576923076923077,-2.176923076923077,0.19047619047619047,6.976744186046512,4,4,17,32,,0.0
Syria,2020-04-25,42,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,0.5714285714285714,0.14285714285714285,1.8571428571428572,1.2857142857142858,1.5714285714285714,1.3673469387755102,0.6219190339123483,2.0,1.5204081632653064,0.6428135341915666,2.7142857142857144,1.3107936507936508,0.5516357769313921,2.7142857142857144,-0.45,-0.7,0.19047619047619047,6.976744186046512,5,4,17,33,,0.0
Syria,2020-04-26,43,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,1.0,0.0,0.5714285714285714,0.0,2.0,0.8571428571428571,1.4285714285714286,1.163265306122449,0.6140562773549256,2.0,1.5,0.6694734217878833,2.7142857142857144,1.3031746031746032,0.5604421884617199,2.7142857142857144,-0.4761904761904762,-1.0915750915750915,0.19999999999999998,6.8181818181818175,6,4,17,34,,0.0
Syria,2020-04-27,43,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,0.5714285714285714,0.0,2.0,0.8571428571428571,1.2857142857142858,0.9591836734693876,0.5197741903372262,1.8571428571428572,1.4795918367346939,0.6944659985192578,2.7142857142857144,1.3,0.5644275559087334,2.7142857142857144,-0.4761904761904762,-1.0915750915750915,0.25,6.8181818181818175,0,4,18,35,,0.0
Syria,2020-04-28,43,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,0.14285714285714285,0.0,1.8571428571428572,1.4285714285714286,1.2857142857142858,0.7142857142857143,0.42056004125370644,1.2857142857142858,1.3877551020408163,0.7813134925982528,2.7142857142857144,1.2666666666666666,0.6022866739569165,2.7142857142857144,-0.6,-0.776470588235294,0.0625,6.8181818181818175,1,4,18,36,,0.0
Syria,2020-04-29,43,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,0.14285714285714285,0.0,1.2857142857142858,2.0,1.2857142857142858,0.5510204081632654,0.38180177416060546,1.2857142857142858,1.2551020408163267,0.8257598592476213,2.7142857142857144,1.2285714285714286,0.6362274455105111,2.7142857142857144,-0.5000000000000001,-0.2619047619047621,0.09090909090909091,6.8181818181818175,2,4,18,37,,0.0
Syria,2020-04-30,43,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,0.14285714285714285,0.0,1.2857142857142858,2.0,0.42857142857142855,0.38775510204081626,0.2290810644963619,0.5714285714285714,1.1224489795918369,0.8458173809621402,2.7142857142857144,1.1904761904761905,0.6661973482933523,2.7142857142857144,-0.5000000000000001,-0.2619047619047621,0.09090909090909091,6.8181818181818175,3,4,18,38,,0.0
Syria,2020-05-01,44,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,1.0,0.0,0.2857142857142857,0.0,0.5714285714285714,2.7142857142857144,0.42857142857142855,0.3469387755102041,0.21597969886241347,0.5714285714285714,0.9489795918367346,0.7361641489386399,2.0,1.1761904761904762,0.6811871631263096,2.7142857142857144,-0.18181818181818182,0.39510489510489516,0.18181818181818182,6.666666666666667,4,5,18,39,,0.0
Syria,2020-05-02,44,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,0.2857142857142857,0.0,0.5714285714285714,1.8571428571428572,1.2857142857142858,0.30612244897959184,0.1921693454670116,0.5714285714285714,0.8367346938775511,0.7062340543919317,2.0,1.1333333333333333,0.6957530090409175,2.7142857142857144,-0.18181818181818182,0.2681818181818182,0.18181818181818182,6.666666666666667,5,5,18,40,,0.0
Syria,2020-05-03,44,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714,2.0,0.8571428571428571,0.24489795918367346,0.15895675436119303,0.5714285714285714,0.7040816326530612,0.6424645583058071,2.0,1.0857142857142856,0.7133984637288397,2.7142857142857144,-0.2727272727272727,0.2034632034632035,0.125,6.666666666666667,6,5,18,41,,0.0
Syria,2020-05-04,44,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714,2.0,0.8571428571428571,0.18367346938775508,0.06970714806774457,0.2857142857142857,0.5714285714285714,0.537451396071977,1.8571428571428572,1.0380952380952382,0.7274001338511826,2.7142857142857144,-0.2727272727272727,0.2034632034632035,0.125,6.666666666666667,0,5,19,42,,0.0
Syria,2020-05-05,44,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,1.8571428571428572,1.4285714285714286,0.18367346938775508,0.06970714806774457,0.2857142857142857,0.4489795918367347,0.39959611814460966,1.2857142857142858,0.9952380952380953,0.7413430319149169,2.7142857142857144,0.0,0.6,0.125,6.666666666666667,1,5,19,43,,0.0
Syria,2020-05-06,45,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,1.0,0.0,0.2857142857142857,0.0,0.14285714285714285,1.2857142857142858,2.0,0.20408163265306123,0.07636035483211429,0.2857142857142857,0.37755102040816324,0.3199643958663402,1.2857142857142858,0.9619047619047619,0.7502599440058352,2.7142857142857144,0.125,0.6250000000000001,0.22222222222222224,6.521739130434782,2,5,19,44,,0.0
Syria,2020-05-07,45,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,1.2857142857142858,2.0,0.22448979591836732,0.07636035483211445,0.2857142857142857,0.30612244897959184,0.18463033504538812,0.5714285714285714,0.9285714285714286,0.7575563514457283,2.7142857142857144,0.125,0.6250000000000001,0.22222222222222224,6.521739130434782,3,5,19,45,,0.0
Syria,2020-05-08,47,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,2.0,0.0,0.42857142857142855,0.0,0.2857142857142857,0.5714285714285714,2.7142857142857144,0.24489795918367346,0.10798984943120307,0.42857142857142855,0.2959183673469388,0.17238092347010636,0.5714285714285714,0.9,0.7597825534329252,2.7142857142857144,0.11111111111111112,0.29292929292929293,0.375,6.25,4,5,19,46,,0.0
Syria,2020-05-09,47,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,0.42857142857142855,0.0,0.2857142857142857,0.5714285714285714,1.8571428571428572,0.26530612244897955,0.12853363012034433,0.42857142857142855,0.2857142857142857,0.15848577035006353,0.5714285714285714,0.9,0.7597825534329252,2.7142857142857144,0.11111111111111112,0.29292929292929293,0.375,6.25,5,5,19,47,,0.0
Syria,2020-05-10,47,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.5714285714285714,2.0,0.30612244897959184,0.12853363012034452,0.42857142857142855,0.2755102040816327,0.1424641375929799,0.5714285714285714,0.9,0.7597825534329252,2.7142857142857144,0.25,0.5227272727272727,0.375,6.25,6,5,19,48,,0.0
Syria,2020-05-11,47,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.5714285714285714,2.0,0.3469387755102041,0.11239939892420217,0.42857142857142855,0.26530612244897955,0.12349111735822123,0.42857142857142855,0.8714285714285716,0.7608932119185332,2.7142857142857144,0.25,0.5227272727272727,0.33333333333333337,6.25,0,5,20,49,,0.0
Syria,2020-05-12,47,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,1.8571428571428572,0.38775510204081637,0.0697071480677463,0.42857142857142855,0.2857142857142857,0.1252940027581446,0.42857142857142855,0.8571428571428572,0.7651817867565558,2.7142857142857144,0.25,0.25,0.33333333333333337,6.25,1,5,20,50,,0.0
Syria,2020-05-13,48,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,1.0,0.0,0.42857142857142855,0.0,0.2857142857142857,0.14285714285714285,1.2857142857142858,0.40816326530612246,0.05399492471559632,0.42857142857142855,0.30612244897959184,0.12349111735822138,0.42857142857142855,0.8428571428571429,0.7691720326191971,2.7142857142857144,0.11111111111111112,-0.013888888888888881,0.3,6.122448979591836,2,5,20,51,,0.0
Syria,2020-05-14,48,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,0.0,0.0,0.42857142857142855,0.0,0.2857142857142857,0.14285714285714285,1.2857142857142858,0.42857142857142855,0.0,0.42857142857142855,0.32653061224489793,0.11791718655079142,0.42857142857142855,0.8095238095238095,0.7645684144842302,2.7142857142857144,0.11111111111111112,-0.013888888888888881,0.3,6.122448979591836,3,5,20,52,,0.0
Syria,2020-05-15,50,3,,0.0,0.03,87.04,,21.7,1.5,72.7,22125242.0,,,,,,2.0,0.0,0.42857142857142855,0.0,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.0,0.42857142857142855,0.33673469387755095,0.12027105516301127,0.42857142857142855,0.757142857142857,0.7333898427889372,2.7142857142857144,0.0,-0.11111111111111112,0.3,5.88235294117647,4,5,20,53,,0.0
